place_name;category;rating;latitude;longitude;source;main_category
Shubbak cafe;cafe;4.8;24.8579933;46.5976737;cafes;cafe
كافية خريطة الغذاء;cafe;4.1;24.6323012;46.5362813;cafes;cafe
STARUPS coffee shop;cafe;4.4;24.827875;46.7837488;cafes;cafe
COV COFFEE;cafe;4.3;24.7167057;46.7859199;cafes;cafe
McCafe;cafe;2.8;24.84059;46.8292219;cafes;cafe
Cinnabon;cafe;3.7;24.6086867;46.6563127;cafes;cafe
كيان KYAN;cafe;5;24.5656822;46.7625516;cafes;cafe
قهوة قندهار;cafe;4.7;24.6200772;46.7335014;cafes;cafe
4twins Coffee | فورتوينز;cafe;3;24.7496798;46.7647833;cafes;cafe
قهوة عبدالله العربية;cafe;3.8;24.6034111;46.6314473;cafes;cafe
Draft Café;cafe;4.1;24.70069;46.7020041;cafes;cafe
Black House Cafe;cafe;4.2;24.695266;46.6830292;cafes;cafe
coz cafe;cafe;3.1;24.6340855;46.6789011;cafes;cafe
كيف التوأم;cafe;4;24.7962731;46.6078761;cafes;cafe
استراحة الهذال;cafe;4.1;24.6897535;46.8454426;cafes;cafe
المذاق المغربي;cafe;4.1;24.5438952;46.6822714;cafes;cafe
Cup coffee 2;cafe;5;24.8420507;46.7913577;cafes;cafe
MOOD Souq Alzal;cafe;4.7;24.6303093;46.713967;cafes;cafe
بطاقة القهوة;cafe;3.8;24.7020598;46.6960965;cafes;cafe
Style Cafe;cafe;3.7;24.5649077;46.6838042;cafes;cafe
ذا سبوت;cafe;3.5;24.8184764;46.8028882;cafes;cafe
Self Made Coffee;cafe;3.9;24.7592993;46.6959738;cafes;cafe
McCafe;cafe;4.6;24.7043969;46.8333686;cafes;cafe
45 degrees coffe كوفي;cafe;4;24.8099887;46.7840169;cafes;cafe
Fast Coffee;cafe;3.7;24.6579711;46.7357205;cafes;cafe
مقهى - مجتمع فناء;cafe;4.1;24.6765137;46.7696994;cafes;cafe
Café titiz;cafe;2.8;24.8181815;46.6869938;cafes;cafe
Golden Brasil Cafe;cafe;3.5;24.7742696;46.7760914;cafes;cafe
Tinat Cafe تينات كافيه;cafe;3.8;24.7656573;46.6797995;cafes;cafe
راي;cafe;5;24.5849487;46.5614109;cafes;cafe
café français -القهوة الفرنسية;cafe;3.5;24.6468936;46.7168976;cafes;cafe
PortaFilter;cafe;4.4;24.6822934;46.7778186;cafes;cafe
dr.CAFE COFFEE | د.كيف كافيه;cafe;4;24.5435067;46.6926696;cafes;cafe
Arabica coffee;cafe;4.1;24.6371904;46.6931136;cafes;cafe
Coffee Morocco;cafe;4.6;24.6119525;46.8230186;cafes;cafe
دكتور كافي;cafe;5;24.6556033;46.717283;cafes;cafe
